"name";"sum_points";"url";"user_id"
"Dota 2";0;"https://google.com";777
"Crime Scene Cleaner";49;"https://store.steampowered.com/app/1040200/Crime_Scene_Cleaner/";635678009
"Wanking Simulator";46;"https://store.steampowered.com/app/1007840/Wanking_Simulator/";635678009
"Grand Theft Auto: Episodes from Liberty City";45,5;"https://store.steampowered.com/app/12220/Grand_Theft_Auto_Episodes_from_Liberty_City/";635678009
"Grand Theft Auto: San Andreas";45,5;"https://store.steampowered.com/app/12120/Grand_Theft_Auto_San_Andreas/";635678009
"Grand Theft Auto III";43,5;"https://store.steampowered.com/app/12100/Grand_Theft_Auto_III/";635678009
"Saints Row 2";43;"https://store.steampowered.com/app/9480/Saints_Row_2/";635678009
"Kane & Lynch 2: Dog Days";42,5;"https://store.steampowered.com/app/28000/Kane__Lynch_2_Dog_Days/";635678009
"Saints Row IV: Game of the Century Edition";42,5;"https://store.steampowered.com/app/314580/Saints_Row_IV_Game_of_the_Century_Edition/";635678009
"Sleeping Dogs: Definitive Edition";42,5;"https://store.steampowered.com/app/307690/Sleeping_Dogs_Definitive_Edition/";635678009
"Just Cause 3";42;"https://store.steampowered.com/app/225540/Just_Cause_3/";635678009
"Saints Row: Gat out of Hell";42;"https://store.steampowered.com/app/301910/Saints_Row_Gat_out_of_Hell/";635678009
"Saints Row: The Third";42;"https://store.steampowered.com/app/55230/Saints_Row_The_Third/";635678009
"DARK SOULS: REMASTERED";41,5;"https://store.steampowered.com/app/570940/DARK_SOULS_REMASTERED/";635678009
"Far Cry";41,5;"https://store.steampowered.com/app/13520/Far_Cry/";635678009
"Mafia III";41,5;"https://store.steampowered.com/app/360430/Mafia_III/";635678009
"Among Us";41;"https://store.steampowered.com/app/945360/Among_Us/";635678009
"Grand Theft Auto: Vice City";41;"https://store.steampowered.com/app/12110/Grand_Theft_Auto_Vice_City/";635678009
"Serious Sam 2";41;"https://store.steampowered.com/app/204340/Serious_Sam_2/";635678009
"The Elder Scrolls Online";41;"https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online/";635678009
"Bulletstorm: Full Clip Edition";40,5;"https://store.steampowered.com/app/501590/Bulletstorm_Full_Clip_Edition/";635678009
"Mad Max";40,5;"https://store.steampowered.com/app/234140/Mad_Max/";635678009
"The Elder Scrolls IV: Oblivion Game of the Year Edition";40,5;"https://store.steampowered.com/app/22330/The_Elder_Scrolls_IV_Oblivion_Game_of_the_Year_Edition/";635678009
"Tom Clancy's Ghost Recon Wildlands";40,5;"https://store.steampowered.com/app/460930/Tom_Clancys_Ghost_Recon_Wildlands/";635678009
"Big Battle And Defence Simulator";40;"https://store.steampowered.com/app/1103820/Big_Battle_And_Defence_Simulator/";635678009
"Blockland";40;"https://store.steampowered.com/app/250340/Blockland/";635678009
"Bully: Scholarship Edition";40;"https://store.steampowered.com/app/12200/Bully_Scholarship_Edition/";635678009
"CHERNOBYL HISTORY OF NUCLEAR DISASTER";40;"https://store.steampowered.com/app/1104800/CHERNOBYL_HISTORY_OF_NUCLEAR_DISASTER/";635678009
"Dead Rising 3 Apocalypse Edition";40;"https://store.steampowered.com/app/265550/Dead_Rising_3_Apocalypse_Edition/";635678009
"Fallout 3";40;"https://store.steampowered.com/app/22300/Fallout_3/";635678009
"HITMAN 2";40;"https://store.steampowered.com/app/863550/HITMAN_2/";635678009
"Lords Of The Fallen";40;"https://store.steampowered.com/app/265300/Lords_Of_The_Fallen/";635678009
"Mount & Blade II: Bannerlord";40;"https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/";635678009
"Sleeping Dogs";40;"https://store.steampowered.com/app/202170/Sleeping_Dogs/";635678009
"Assassin's Creed Unity";39,5;"https://store.steampowered.com/app/289650/Assassins_Creed_Unity/";635678009
"Dragon's Dogma: Dark Arisen";39,5;"https://store.steampowered.com/app/367500/Dragons_Dogma_Dark_Arisen/";635678009
"Enclave";39,5;"https://store.steampowered.com/app/253980/Enclave/";635678009
"FINAL FANTASY XV WINDOWS EDITION";39,5;"https://store.steampowered.com/app/637650/FINAL_FANTASY_XV_WINDOWS_EDITION/";635678009
"Resident Evil Revelations / Biohazard Revelations";39,5;"https://store.steampowered.com/app/222480/Resident_Evil_Revelations__Biohazard_Revelations/";635678009
"State of Decay";39,5;"https://store.steampowered.com/app/241540/State_of_Decay/";635678009
"Call of Duty: Modern Warfare 2";39;"https://store.steampowered.com/app/10180/Call_of_Duty_Modern_Warfare_2/";635678009
"Fable - The Lost Chapters";39;"https://store.steampowered.com/app/204030/Fable__The_Lost_Chapters/";635678009
"Fable Anniversary";39;"https://store.steampowered.com/app/288470/Fable_Anniversary/";635678009
"Friday the 13th: The Game";39;"https://store.steampowered.com/app/438740/Friday_the_13th_The_Game/";635678009
"NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD";39;"https://store.steampowered.com/app/234670/NARUTO_SHIPPUDEN_Ultimate_Ninja_STORM_3_Full_Burst_HD/";635678009
"Red Faction Guerrilla Steam Edition";39;"https://store.steampowered.com/app/20500/Red_Faction_Guerrilla_Steam_Edition/";635678009
"The Bureau: XCOM Declassified";39;"https://store.steampowered.com/app/65930/The_Bureau_XCOM_Declassified/";635678009
"Tom Clancy's Ghost Recon: Future Soldier";39;"https://store.steampowered.com/app/212630/Tom_Clancys_Ghost_Recon_Future_Soldier/";635678009
"Far Cry 4";38,5;"https://store.steampowered.com/app/298110/Far_Cry_4/";635678009
"Far Cry 5";38,5;"https://store.steampowered.com/app/552520/Far_Cry_5/";635678009
"GOD EATER 2 Rage Burst";38,5;"https://store.steampowered.com/app/438490/GOD_EATER_2_Rage_Burst/";635678009
"Gothic 3";38,5;"https://store.steampowered.com/app/39500/Gothic_3/";635678009
"Just Cause 2";38,5;"https://store.steampowered.com/app/8190/Just_Cause_2/";635678009
"Mafia II";38,5;"https://store.steampowered.com/app/50130/Mafia_II/";635678009
"Orcs Must Die! 2";38,5;"https://store.steampowered.com/app/201790/Orcs_Must_Die_2/";635678009
"Postal III";38,5;"https://store.steampowered.com/app/10220/Postal_III/";635678009
"Risen";38,5;"https://store.steampowered.com/app/40300/Risen/";635678009
"Steep";38,5;"https://store.steampowered.com/app/460920/Steep/";635678009
"Sunset Overdrive";38,5;"https://store.steampowered.com/app/847370/Sunset_Overdrive/";635678009
"Tales of Zestiria";38,5;"https://store.steampowered.com/app/351970/Tales_of_Zestiria/";635678009
"Agents of Mayhem";38;"https://store.steampowered.com/app/304530/Agents_of_Mayhem/";635678009
"APB Reloaded";38;"https://store.steampowered.com/app/113400/APB_Reloaded/";635678009
"Borderlands: The Pre-Sequel";38;"https://store.steampowered.com/app/261640/Borderlands_The_PreSequel/";635678009
"Bound By Flame";38;"https://store.steampowered.com/app/243930/Bound_By_Flame/";635678009
"DARK SOULS II: Scholar of the First Sin";38;"https://store.steampowered.com/app/335300/DARK_SOULS_II_Scholar_of_the_First_Sin/";635678009
"Dead Space 2";38;"https://store.steampowered.com/app/47780/Dead_Space_2/";635678009
"Grand Theft Auto IV";38;"https://store.steampowered.com/app/12210/Grand_Theft_Auto_IV/";635678009
"Grand Theft Auto IV: Complete Edition";38;"https://store.steampowered.com/app/901583/Grand_Theft_Auto_IV_Complete_Edition/";635678009
"Hide and Seek";38;"https://store.steampowered.com/app/1010860/Hide_and_Seek/";635678009
"Hide and Seek";38;"https://store.steampowered.com/app/596940/Hide_and_Seek/";635678009
"Mass Effect";38;"https://store.steampowered.com/app/17460/Mass_Effect/";635678009
